Page,URL,Rect,Context
1,https://busquedas.elperuano.pe/dispositivo/NL/2387420-1,"(88.05001068115234, 590.8486328125, 203.46653747558594, 600.6713256835938)","p p ánuco, Junín, Lima, Loreto, Puno, San Martí viales. (El Peruano, Normas Legales)"
1,https://busquedas.elperuano.pe/dispositivo/NL/2387152-1,"(304.7629699707031, 620.316650390625, 420.17950439453125, 630.139404296875)","MCS/PNSU/DE.- Designan responsable de la rbano. (El Peruano, Normas Legales)"
1,https://www.facebook.com/share/v/1DcxCCbdeK/,"(371.06610107421875, 744.3280639648438, 447.8057861328125, 754.1507568359375)","g p q scitado en la ciudad de Pucallpa. Ap tados. (Radio del Progreso, Ribere"
1,https://www.facebook.com/share/v/1ACHnPBnYN/,"(452.7171325683594, 744.3280639648438, 540.50732421875, 754.1507568359375)","q p g de Pucallpa. Aproximadamente, ogreso, Ribereña Pucallpa TV)"
2,https://www.facebook.com/share/p/191AbQh5Bi/,"(258.7191467285156, 38.3226318359375, 315.8134765625, 48.14532470703125)","nacional, la Sunass lanzó su sable. (Decana Radio)"
2,https://www.gob.pe/institucion/vivienda/noticias/1139793-mvcs-reafirma-su-compromiso-para-garantizar-el-acceso-a-servicios-de-agua-potable-y-saneamiento-de-calidad-en-espinar,"(492.6217956542969, 103.39794921875, 527.001220703125, 113.22064208984375)","omunidad. Asimismo, la a EPS. (Vivienda)"
2,https://andina.pe/agencia/noticia-atencion-universitarios-sunass-organiza-datathon-para-estudiantes-ciencia-datos-1024770.aspx,"(449.6475524902344, 168.47320556640625, 477.27386474609375, 178.2958984375)","aneamiento”. La Sunas UPC). (Andina, Andina"
2,https://x.com/Agencia_Andina/status/1907961336383803557?t=_q7Q9HKjYIE7aWmktrnSoQ&s=08,"(482.1851806640625, 168.47320556640625, 519.020263671875, 178.2958984375)","nto”. La Sunass Andina, Andina X, AP"
2,https://www.apnoticias.pe/peru/andina/atencion-universitarios-sunass-organiza-datathon-para-estudiantes-de-ciencia-de-datos-1413672,"(523.9315795898438, 168.47320556640625, 535.5960083007812, 178.2958984375)","unass dina X, AP"
2,https://www.apnoticias.pe/peru/andina/atencion-universitarios-sunass-organiza-datathon-para-estudiantes-de-ciencia-de-datos-1413672,"(45.075775146484375, 178.2958984375, 76.99949645996094, 188.11859130859375)",desarrolla este Noticias)
2,https://www.youtube.com/watch?v=KV3G_sBQmjk,"(48.14536666870117, 296.78204345703125, 115.67631530761719, 306.60467529296875)",población se encuentra b (Exitosa YouTube)
2,https://radioondaazul.com/vecinos-de-el-mirador-los-angeles-exigen-soluciones-urgentes-para-agua-y-electricidad/,"(401.7619934082031, 345.8954162597656, 443.5083923339844, 355.71807861328125)",dación. A pesar del crecim cidad. (Onda Azul)
2,https://ladecana.pe/vecinos-de-villa-medica-protestan-contra-seda-juliaca-por-cobros-excesivos-y-mal-servicio/,"(371.06610107421875, 385.1861572265625, 414.65423583984375, 395.0088195800781)",y esa Seda Juliaca para expr ciben. (La Decana)
2,https://www.gob.pe/institucion/contraloria/noticias/1139604-obra-vial-y-de-alcantarillado-en-barrio-santa-rosa-en-riesgo-por-falta-de-supervision,"(213.2892303466797, 444.1222229003906, 258.105224609375, 453.9449768066406)",j p ovincial de Ica de los traba berías. (Contraloría)
2,https://www.facebook.com/watch/?v=1400853111268054&rdid=gfkH2ytFs7rpkeBH,"(388.2557678222656, 473.5903015136719, 453.3310852050781, 483.4129638671875)","edio local, se reportó el colapso PFRE. (Pisco te Informa)"
2,https://www.facebook.com/61568374274923/videos/498562966520823,"(92.96136474609375, 522.7036743164062, 140.2330322265625, 532.5264892578125)",p pleto. También sostuvieron uesta. (Chinchanito)
2,https://radiouno.pe/noticias/236611/trabajador-de-eps-cae-en-buzon-de-desague/,"(152.51138305664062, 611.1078491210938, 169.087158203125, 620.9306030273438)",va al caer un trabaja eves 3. (Uno)
2,https://www.facebook.com/share/v/15T743rj7N/,"(110.15105438232422, 660.2213745117188, 166.01756286621094, 670.0440063476562)",p p ron que regresarían más tard Nueva. (Exitosa Tacna)
2,https://noticiaspiura30.pe/eps-grau-suspende-servicio-de-agua-por-limpieza-en-sistema-de-drenaje/,"(191.80210876464844, 709.3347778320312, 216.35882568359375, 719.1574096679688)",p y olongará hasta la ma corza. (Walac)
2,https://macronorte.pe/2025/04/03/sedalib-no-entrega-informacion-financiera-a-la-mpt-pese-a-constantes-pedidos/,"(190.57427978515625, 758.4481201171875, 236.0041961669922, 768.2708129882812)","q a MPT tiene acciones, pero 2024. (Macronorte)"
3,https://macronorte.pe/2025/04/02/pescadores-artesanales-de-huanchaco-preparan-protesta-por-arrojo-de-desague-al-mar/,"(484.640869140625, 38.3226318359375, 530.0707397460938, 48.14532470703125)","ya hay como seis, siete sanal. (Macronorte)"
3,https://diaadiatrujillo.pe/2025/04/03/conforman-mesa-de-dialogo-para-buscar-soluciones-al-desborde-de-aguas-residuales-en-la-ptar-el-tablazo/,"(300.4655456542969, 87.43603515625, 366.7686462402344, 97.25872802734375)",para buscar soluciones para la p sables. (Día a Día Trujillo)
3,https://www.gob.pe/institucion/vivienda/noticias/1137897-ministerio-de-vivienda-convoca-a-empresas-para-la-elaboracion-del-estudio-de-megaproyecto-de-agua-grandes-ciudades-de-chancay,"(293.7124328613281, 206.53607177734375, 328.09185791015625, 216.35870361328125)",p mejoramiento del sistema Lima. (Vivienda)
3,https://andina.pe/agencia/noticia-andahuaylas-avanza-proyecto-para-mejorar-servicio-agua-potable-y-alcantarillado-1024668.aspx,"(93.57527923583984, 255.64947509765625, 121.81549835205078, 265.47222900390625)","p y ahuaylas, región Apurím MVCS. (Andina)"
3,https://www.youtube.com/watch?v=1OMWADubyUc,"(490.780029296875, 294.940185546875, 544.8048095703125, 304.76300048828125)","People, sobre el ídrica. (P21 YouTube)"
3,http://imacorpplataforma.com/wp-content/uploads/2025/04/EL-PERUANO-ECONOMIA-10-FONDO-SOCIAL-DE-CHANCAY-03-04-2025-scaled.jpg,"(445.3501281738281, 334.2309265136719, 490.1661071777344, 344.0537109375)","p servicios públicos y proyect rtuario (El Peruano, Gestió"
3,http://imacorpplataforma.com/wp-content/uploads/2025/04/GESTION-ECONOMIA-17-SE-CREA-EL-FONDO-PARA-EL-DESARROLLO-DE-CHANCAY-03-04-2025.jpg,"(495.07745361328125, 334.2309265136719, 525.7733764648438, 344.0537109375)","licos y proyectos de eruano, Gestión)"
3,http://imacorpplataforma.com/wp-content/uploads/2025/04/EL-PERUANO-ECONOMIA-11-FIJAN-INVERSIONES-POR-USS70000-MLLNS-03-04-2025-scaled.jpg,"(315.1995544433594, 393.1671142578125, 360.01556396484375, 402.98974609375)","q p g es en transportes, saneami ctores. (El Peruano)"
3,http://imacorpplataforma.com/wp-content/uploads/2025/04/EXTRA-ACTUALIDAD-6-VECINOS-DE-MI-PERU-A-UN-PASO-DE-LA-TITULACION-03-04-2025.jpg,"(440.43878173828125, 432.4577331542969, 461.3119812011719, 442.2803955078125)",00 millones que bene redios. (Extra)
3,https://andina.pe/agencia/noticia-enfen-ocurrencia-de-nino-costero-se-daria-si-calentamiento-del-mar-sigue-todo-abril-1024551.aspx,"(48.14536666870117, 560.7665405273438, 76.38558197021484, 570.5892333984375)",p confirmar la ocu (Andina)
3,http://imacorpplataforma.com/wp-content/uploads/2025/04/PERU21-POLITICA-7-PLENO-INTERPELARA-A-PREMIER-ADRIANZEN-ESTE-MIERCOLES-9-03-04-2025.jpg,"(129.1824951171875, 696.4425048828125, 160.4923095703125, 706.26513671875)",p p g ó su iniciativa señaland el país. (Perú 21)
