Page,URL,Rect,Context
1,https://aka.ms/o0ukef,"(72.08815002441406, 158.65057373046875, 132.8660125732422, 167.85931396484375)",Obtener Outlook para iOS
1,https://busquedas.elperuano.pe/dispositivo/NL/2382423-1,"(509.8114929199219, 450.8753662109375, 517.7924194335938, 460.69805908203125)",otable. (El
1,https://busquedas.elperuano.pe/dispositivo/NL/2382423-1,"(45.075775146484375, 460.69805908203125, 150.0557098388672, 470.520751953125)","Congreso. Ley N° 32262.- Ley qu Peruano, Normas Legales)"
1,https://larepublica.pe/agencias/2025/03/20/poca-agua-el-padecimiento-diario-de-miles-de-peruanos-en-lima-792120,"(260.5608825683594, 585.3233642578125, 313.3578186035156, 595.1460571289062)","p p q edio terminan pagando seis v unass. (La República, Yahoo"
1,"https://es-us.noticias.yahoo.com/agua-padecimiento-diario-miles-peruanos-114838264.html#:~:text=M%C3%A1s%20de%20635.000%20personas%20viven,Estad%C3%ADstica%20e%20Inform%C3%A1tica%20del%20Per%C3%BA.&text=Al%20igual%20que%20%C3%91aupa%2C%20muchos,redes%20de%20agua%20y%20saneamiento.","(318.2691650390625, 585.3233642578125, 368.61041259765625, 595.1460571289062)","q g agando seis veces más por pública, Yahoo News, Swiss"
1,https://www.swissinfo.ch/spa/poca-agua%3A-el-padecimiento-diario-de-miles-de-peruanos-en-lima/89039522,"(373.5217590332031, 585.3233642578125, 414.65423583984375, 595.1460571289062)","g veces más por metro cúbic News, Swiss Info)"
1,https://www.rcrperu.com/sunass-la-presa-de-chonta-y-los-pozos-tubulares-son-importantes-para-acortar-la-brecha-de-deficit-hidrico-pero-aun-falta-mas-infraestructura-en-cajamarca/,"(214.51707458496094, 660.2213745117188, 233.5485076904297, 670.0440063476562)",a para la época de e ídrica. (RCR)
1,https://www.facebook.com/watch/?v=951326933856337&rdid=g7MkHeiPnxPvBKH0,"(81.91083526611328, 715.4739379882812, 146.98611450195312, 725.296630859375)",y q j s visitas a las diversas institucio scolar. (El Huarequeque)
1,https://www.revistasaludyfamilia.com/pequenas-fugas-grandes-gastos-como-ahorrar-agua-con-un-mantenimiento-adecuado/,"(446.5779724121094, 770.7265014648438, 509.1976013183594, 780.5491943359375)",g q al estado puede perder hasta hogar. (Salud & Familia)
2,https://panamericana.pe/nacionales/438057-sorpresas-recibo-agua-sunass-ensena-evitar-cobros-excesivos-app,"(349.5789794921875, 57.968017578125, 407.9011535644531, 67.79071044921875)","l aplicativo Yakúmetro, una he ciones. (Panamericana)"
2,https://www.facebook.com/share/v/1UzpGTYper/,"(490.780029296875, 113.22064208984375, 528.8428955078125, 123.04327392578125)","Monte Alegre, a fin de shuya. (Radio del"
2,https://www.facebook.com/share/v/1UzpGTYper/,"(45.075775146484375, 123.04327392578125, 81.91083526611328, 132.865966796875)","g contribuir a que r Progreso, Opinió"
2,https://www.facebook.com/share/p/1FCEiMp1gb/,"(86.82218170166016, 123.04327392578125, 164.78973388671875, 132.865966796875)","g g ntribuir a que reciban un servicio se ogreso, Opinión Sin Límites, Q haye"
2,https://www.facebook.com/share/p/18Snp1ekGH/,"(169.70108032226562, 123.04327392578125, 270.3835754394531, 132.865966796875)","g q un servicio seguro, tras renovar el conve Límites, Q haye Pucallpa Noticias, Minuto"
2,https://www.facebook.com/share/p/17f9Mzawxt/,"(275.294921875, 123.04327392578125, 358.7877502441406, 132.865966796875)","p novar el convenio con la Municipalid oticias, Minuto Cero Noticias, Chara"
2,https://www.facebook.com/share/p/1ACXkKRavZ/,"(363.6990661621094, 123.04327392578125, 412.1985778808594, 132.865966796875)","p q la Municipalidad Distrital de oticias, Charapa TV)"
