Page,URL,Rect,Context
1,https://busquedas.elperuano.pe/dispositivo/NL/2383282-1,"(256.8774108886719, 590.8486328125, 371.6800231933594, 600.6713256835938)","p q p y Madre de Dios, Pasco, Puno, San Martín y U viales. (El Peruano, Normas Legales)"
1,https://cdn.www.gob.pe/uploads/document/file/7815235/6595159-res-n-017-2025-sunass-cd.pdf?v=1742645849,"(460.0841369628906, 620.316650390625, 541.1212768554688, 630.139404296875)","egula el procedimiento de miento. (El Peruano, Normas"
1,https://cdn.www.gob.pe/uploads/document/file/7815235/6595159-res-n-017-2025-sunass-cd.pdf?v=1742645849,"(45.075775146484375, 630.139404296875, 76.99949645996094, 639.9620361328125)",rebalanceo tarif Legales)
1,https://busquedas.elperuano.pe/dispositivo/NL/2383200-1,"(407.9011535644531, 659.607421875, 522.7037353515625, 669.4301147460938)","N° 005-2025-CONSEJO DIRECTIVO.- sitorio. (El Peruano, Normas Legales)"
1,https://imacorpplataforma.com/sunass/sunass-presenta-concurso-nacional-escolar-gota-de-oro-sunass-2025-tv-peru-noticias-22-03-2025/,"(450.8753662109375, 793.4415283203125, 484.0269470214844, 803.26416015625)","n el concurso en las sig cación. (TV Perú, TV Pe"
1,https://imacorpplataforma.com/sunass/tv-peru-noticias-sunass-lanza-concurso-escolar-gota-de-oro-sunass-2025-23-03-2025/,"(488.93829345703125, 793.4415283203125, 522.08984375, 803.26416015625)","urso en las siguientes V Perú, TV Perú, Radio"
1,https://imacorpplataforma.com/agua-y-saneamiento/radio-nacional-video-el-informativo-segunda-edicion-declaraciones-de-jose-luis-patino-director-de-usuarios-de-sunass-21-03-2025/,"(527.001220703125, 793.4415283203125, 550.330078125, 803.26416015625)","s siguientes V Perú, Radio"
2,https://imacorpplataforma.com/agua-y-saneamiento/radio-nacional-video-el-informativo-segunda-edicion-declaraciones-de-jose-luis-patino-director-de-usuarios-de-sunass-21-03-2025/,"(45.075775146484375, 28.5, 80.069091796875, 38.3226318359375)","24/3/25, 12:02 Nacional, Radio Unheval, Studio"
2,http://imacorpplataforma.com/agua-y-saneamiento/radio-nacional-el-informativo-segunda-edicion-declaraciones-de-jose-luis-patino-director-de-usuarios-de-sunass-21-03-2025/,"(84.98043060302734, 28.5, 146.3721923828125, 38.3226318359375)","12:02 acional, Radio Nacional, Andina nheval, Studio 5, Huallaga)"
2,https://andina.pe/agencia/noticia-dia-mundial-del-agua-sunass-invita-a-comunidad-educativa-a-participar-concurso-escolar-1023179.aspx,"(151.28355407714844, 28.5, 179.5237579345703, 38.3226318359375)","acional, Andina, AP No Huallaga)"
