Page,URL,Rect,Context
1,https://busquedas.elperuano.pe/dispositivo/NL/2381591-1,"(540.50732421875, 444.7362060546875, 548.48828125, 454.55889892578125)",tadora de dades. (El
1,https://busquedas.elperuano.pe/dispositivo/NL/2381591-1,"(45.075775146484375, 454.55889892578125, 150.0557098388672, 464.381591796875)","Servicios de Saneamiento de Agu Peruano, Normas Legales)"
1,https://busquedas.elperuano.pe/dispositivo/NL/2381130-1,"(141.4608612060547, 503.6723327636719, 256.8774108886719, 513.4949951171875)","g y p j s, aplicables por EPS GRAU S.A. durante el otivos. (El Peruano, Normas Legales)"
1,https://prensaregional.pe/sunass-usuarios-pueden-simular-consumo-de-agua-con-yakumetro/,"(507.3558349609375, 712.4043579101562, 536.2099609375, 722.2269897460938)",p p sumos de agua ervicio. (Prensa
1,https://prensaregional.pe/sunass-usuarios-pueden-simular-consumo-de-agua-con-yakumetro/,"(45.075775146484375, 722.2269897460938, 80.6830062866211, 732.0497436523438)",p potable y calcula Regional)
2,https://diariosinfronteras.com.pe/2025/03/18/puno-exigiran-audiencia-con-gerente-de-seda-por-las-tarifas-de-agua/,"(82.5247573852539, 57.968017578125, 136.5495147705078, 67.79071044921875)",p e dicha entidad para que pue otable. (Sin Fronteras)
2,https://losandes.com.pe/sedapar-dio-agua-en-cisternas-sin-las-medidas-sanitarias/,"(523.3176879882812, 116.90411376953125, 538.0516967773438, 126.726806640625)",y activó gente. (Los
2,https://losandes.com.pe/sedapar-dio-agua-en-cisternas-sin-las-medidas-sanitarias/,"(45.075775146484375, 126.726806640625, 70.86032104492188, 136.54949951171875)",correctamente Andes)
2,https://diariocorreo.pe/edicion/arequipa/arequipa-900-familias-en-el-distrito-de-yura-viven-hace-15-anos-sin-agua-y-desague-noticia/,"(333.6170959472656, 193.64385986328125, 361.243408203125, 203.46649169921875)",p y s que no tienen los serv marzo. (Correo)
2,https://n9.cl/e7qn7f,"(376.5913391113281, 258.71905517578125, 391.32537841796875, 268.54180908203125)","g p ndas afectadas, aut oticias, Vox)"
2,https://n9.cl/pup58a,"(258.105224609375, 313.9716796875, 284.503662109375, 323.79443359375)","y p hca, que generó un hu Juan. (COER)"
2,https://diariocorreo.pe/edicion/piura/piura-reparan-buzon-en-el-ah-nueva-esperanza-para-mitigar-aniegos-noticia/?ref=dcr,"(476.0460205078125, 359.4016418457031, 503.6723327636719, 369.2242736816406)",reparación de un buzó ctubre. (Correo)
2,https://www.infobae.com/peru/2025/03/18/sedapal-niega-responsabilidad-en-vertimiento-que-tino-de-rojo-el-rio-rimac-y-senala-a-empresa-textil-como-la-principal-causante/,"(324.4083251953125, 444.1222229003906, 354.49029541015625, 453.9449768066406)",ándose que una empres ndela. (Infobae)
2,https://gestion.pe/tendencias/estilos/crisis-del-agua-en-lima-la-urgencia-de-preservar-y-gestionar-mejor-el-recurso-hidrico-aquafondo-exposicion-fotografica-municipalidad-san-miguel-noticia/,"(218.81448364257812, 512.8810424804688, 249.5103759765625, 522.7036743164062)",a con la Municipalidad d Lima”. (Gestión)
2,https://www.youtube.com/watch?v=YxUqDi3c8gM,"(474.20428466796875, 581.639892578125, 541.1212768554688, 591.4625244140625)","p e de este sistema presentan zados. (Exitosa YouTube,"
2,https://www.infobae.com/peru/2025/03/18/lima-y-callao-se-quedarian-sin-agua-advierte-un-informe-de-la-defensoria-del-pueblo-cuando-iniciaria-la-restriccion/,"(45.075775146484375, 591.4625244140625, 75.15774536132812, 601.28515625)","g serias dificultad Infobae, Defens"
2,https://www.youtube.com/watch?v=u-6ozixwlqY,"(80.069091796875, 591.4625244140625, 124.27115631103516, 601.28515625)","g erias dificultades: una infra nfobae, Defensoría, RPP, T"
2,https://imacorpplataforma.com/wp-content/uploads/2025/03/18-03-2025-RPP-LIMA-Y-CALLAO-PODRIA-QUEDARSE-DESABASTECIDA-DE-AGUA-SEGUN-UN-INFORME-DE-LA-DEFENSORIA-DEL-PUEBLO-DIRECTO-EN-DIRECTO.mp3,"(129.1824951171875, 591.4625244140625, 147.6000213623047, 601.28515625)","j ades: una infraestruc nsoría, RPP, TV Pe"
