Page,URL,Rect,Context
1,https://busquedas.elperuano.pe/dispositivo/NL/2391206-1,"(310.8299865722656, 139.69000244140625, 455.9599914550781, 152.34002685546875)","rio del Fondo Nacional de Financiamient NAFE. (El Peruano, Normas Legales)"
1,https://busquedas.elperuano.pe/dispositivo/NL/2391177-1,"(186.74000549316406, 190.28997802734375, 331.8699951171875, 202.94000244140625)","Unidad de Planeamiento y Presupue Rural. (El Peruano, Normas Legales)"
1,https://www.youtube.com/watch?v=IETbsSm-ka0,"(140.27000427246094, 304.1300048828125, 215.0800018310547, 316.7799987792969)","s EPS, el alto costo de las ectos. (RPP YouTube, RPP"
1,https://www.facebook.com/watch/?mibextid=wwXIfr&v=3007796432728360&rdid=dwTFhLT54rEu7lo1,"(216.6999969482422, 304.1300048828125, 295.17999267578125, 316.7799987792969)","costo de las conexiones y la uTube, RPP Facebook, RPP."
1,https://rpp.pe/economia/economia/sunass-se-requiere-s-138000-millones-para-cerrar-la-brecha-de-agua-potable-y-saneamiento-en-30-anos-noticia-1628807,"(296.7900085449219, 304.1300048828125, 339.20001220703125, 316.7799987792969)","nexiones y la necesid ebook, RPP.pe, RPP T"
1,https://www.youtube.com/watch?v=XxWSnIdKpgo,"(340.80999755859375, 304.1300048828125, 385.0400085449219, 316.7799987792969)","y la necesidad de ac PP.pe, RPP TV, RPP)"
1,https://imacorpplataforma.com/wp-content/uploads/2025/04/16-04-2025-RPP-MONICA-MUNOZ-NAJAR-COMENTA-CIFRAS-DE-SUNASS-PARA-CERRAR-BRECHA-DE-AGUA-Y-SANEAMIENTO-QUE-SUMA-138-MIL-SOLES.mp3,"(386.6499938964844, 304.1300048828125, 413.7699890136719, 316.7799987792969)","esidad de acelerar PP TV, RPP)"
1,https://radioondaazul.com/sunass-exige-a-eps-transparentar-recibos-con-informacion-clave-para-usuarios/,"(137.8300018310547, 380.0199890136719, 193.69000244140625, 392.6700134277344)","ansparencia y permitir chos. (Onda Azul, La De"
1,https://ladecana.pe/sunass-exhorta-a-empresas-de-agua-potable-a-transparentar-horarios-de-suministro-en-recibos/,"(195.3000030517578, 380.0199890136719, 253.00999450683594, 392.6700134277344)","a y permitir que los usu a Azul, La Decana, El Ob"
1,https://www.elobjetivo.pe/puno-sunass-exhorta-a-eps-a-actualizar-horarios-de-suministro-del-agua-potable-en-los-recibos/,"(254.6199951171875, 380.0199890136719, 312.30999755859375, 392.6700134277344)","que los usuarios conoz ecana, El Objetivo)"
1,https://sunassgobpe-my.sharepoint.com/:i:/g/personal/esosa_sunass_gob_pe/EfVUkoOxYLFIk-l-1yqokTEBlFBoq1E17HQGCslsCgw3rw?e=8i7nBj,"(446.9800109863281, 455.9200134277344, 526.1400146484375, 468.57000732421875)","PAIS) que se realizó en raes. (Diario Primicia, Agua & Ambiente)"
1,https://www.facebook.com/permalink.php?story_fbid=pfbid09ACxxwnwvhgHhbqkGtJUuECu47dMTUFvPWAfCeP7tFNBhh7M9mdYm5SVfb2rtsDPl&id=100063616446639,"(82.80000305175781, 468.57000732421875, 168.00999450683594, 481.2099914550781)","los distritos de Lircay Reporteros Perú, Más N"
1,https://www.facebook.com/permalink.php?story_fbid=pfbid0gx7Pg2NrMZca5bR3hwTVSh6FSZuDwqa2fesjxWk7KCiUni3vohjaSj6fW4M3MUKkl&id=100065273659654,"(169.6199951171875, 468.57000732421875, 237.0800018310547, 481.2099914550781)","s de Lircay y Julcamarc Perú, Más Noticias, Anota"
1,https://www.facebook.com/permalink.php?story_fbid=pfbid0d1rwcSyt4kFugPvuGnZUvZE7nbwY34VvAXYZk54edPc2mJgs2dEXcDCwjqhexj1pl&id=100064089484737,"(238.69000244140625, 468.57000732421875, 287.2300109863281, 481.2099914550781)","y Julcamarca, en la oticias, Anota.pe, Digita"
1,https://www.facebook.com/permalink.php?story_fbid=pfbid02z62m7HKa1tBsxHC9YHA2TuS2Bc5twqTBf9PANRUXvgffgrhDdnuGXJQuBNhf8SuMl&id=61559613183648,"(288.8399963378906, 468.57000732421875, 355.0799865722656, 481.2099914550781)","arca, en la provincia de ota.pe, Digital Press, Verde"
1,https://www.facebook.com/permalink.php?story_fbid=pfbid02jjxa5vMavsFyt2VVpMfg7aLimbMDQw21agnBHdsiyWfSL6BomtXekrcmNyiKkviNl&id=100062993063417,"(356.69000244140625, 468.57000732421875, 405.8399963378906, 481.2099914550781)","rovincia de Angaraes Press, Verde.pe, Agua"
1,https://www.facebook.com/permalink.php?story_fbid=pfbid02ozZBtnBo2bLjaHnXZ4TTZygwN3fjLhwdZEwab7R7vyUj8k8DKoUsC4rey5YfaEbel&id=100072108931277,"(407.45001220703125, 468.57000732421875, 497.55999755859375, 481.2099914550781)","e Angaraes. (Diario Primicia, de.pe, Agua & Ambiente)"
1,https://www.facebook.com/share/v/15kkoxxenF/,"(135.3800048828125, 544.4600219726562, 253.61000061035156, 557.1099853515625)","” y brindó detalles de los diversos com .3 FM, Radio Tacna Facebook)"
1,https://www.iagua.es/noticias/xylem-vue/non-revenue-water-latam-papel-ia-reduccion-perdidas-agua,"(238.72999572753906, 645.6500244140625, 271.3599853515625, 658.2999877929688)",nicana y Argentina años. (iAgua)
2,https://diarioviral.pe/arequipa/reportan-que-89-de-usuarios-de-sedapar-desconoce-cuanta-agua-potable-consume-al-mes-40841,"(478.3399963378906, 76.45001220703125, 504.8500061035156, 89.0999755859375)","ento no permite nero. (Viral, Sin"
2,https://diariosinfronteras.com.pe/2025/04/14/arequipa-usuarios-sedapar-desconocen-consumo-agua/,"(508.79998779296875, 76.45001220703125, 532.260009765625, 89.0999755859375)","no permite (Viral, Sin"
2,https://diariosinfronteras.com.pe/2025/04/14/arequipa-usuarios-sedapar-desconocen-consumo-agua/,"(82.80000305175781, 89.0999755859375, 134.3699951171875, 101.75)",planificar mejor Fronteras)
2,https://eltiempo.pe/local/piura-ciudadanos-rechazan-posible-alza-en-la-tarifa-del-agua/,"(180.63999938964844, 215.59002685546875, 234.66000366210938, 228.239990234375)","a la EPS Grau. Median blica. (El Tiempo, La Ho"
2,https://lahora.pe/ultimas-noticias/no-al-alza-en-recibos-de-agua-piura-ciudadanos-rechazan-posible-alza-en-la-tarifa-del-agua/,"(236.27000427246094, 215.59002685546875, 279.8999938964844, 228.239990234375)","rau. Mediante un com empo, La Hora)"
2,https://www.facebook.com/larepublicanorte/posts/980634487518628,"(353.70001220703125, 278.83001708984375, 422.4100036621094, 291.4800109863281)",", dirigente del Comité de G sado. (La República)"
2,https://larepublica.pe/sociedad/2025/04/14/iquitos-padres-de-familia-bloquean-avenida-por-inundacion-y-colapso-de-desagues-en-colegio-466536,"(434.9800109863281, 342.0799865722656, 503.69000244140625, 354.7300109863281)",para poder acceder a los udios. (La República)
2,https://tudiariohuanuco.pe/actualidad/dos-poblados-de-honoria-en-puerto-inca-no-tienen-agua-potable-por-obra-mal-ejecutada/,"(131.10000610351562, 417.9700012207031, 180.22000122070312, 430.6199951171875)",uación que generó una noria. (Tu Diario)
2,https://www.defensoria.gob.pe/defensoria-del-pueblo-advierte-afectacion-a-la-salud-de-alumnos-del-caserio-de-eureka-por-consumo-de-agua-con-arsenico/,"(126.22000122070312, 531.8099975585938, 184.52999877929688, 544.4600219726562)","onsume en dicho caserío, 0 ppb. (Defensoría)"
2,https://drive.google.com/file/d/1jrs2QUhhDxi3BfJjKez-MEHXpQJbWFDR/view?usp=sharing,"(203.86000061035156, 582.4100341796875, 241.99000549316406, 595.0499877929688)",rojizas y excreme ubres. (Correo)
