Page,URL,Rect,Context
1,https://busquedas.elperuano.pe/dispositivo/NL/2387094-1,"(347.7372131347656, 444.7362060546875, 463.1537170410156, 454.55889892578125)","declara días no laborables compensables pa 2026. (El Peruano, Normas Legales)"
1,https://busquedas.elperuano.pe/dispositivo/NL/2386918-1,"(193.02993774414062, 474.20428466796875, 308.44647216796875, 484.0269470214844)","o Nº 001-2025/002-FONAFE.- Acuerdo adop onista. (El Peruano, Normas Legales)"
1,https://www.facebook.com/share/p/18eVyYznGA/,"(258.7191467285156, 600.6713256835938, 328.7057800292969, 610.4940185546875)","g p nacional, la Sunass lanzó su XII sable. (Radio Candarave, Radio"
1,https://www.facebook.com/share/p/15QiHUcfYD/,"(333.6170959472656, 600.6713256835938, 390.7114562988281, 610.4940185546875)","s lanzó su XII Concurso Esco darave, Radio Cultural, Radio"
1,https://www.facebook.com/share/p/16HoX6D1VB/,"(395.622802734375, 600.6713256835938, 445.96405029296875, 610.4940185546875)","Concurso Escolar Nacional G Cultural, Radio Activa, La Gra"
1,https://www.facebook.com/share/p/16YncVrasQ/,"(450.8753662109375, 600.6713256835938, 516.5645751953125, 610.4940185546875)","lar Nacional Gota de Oro, para Activa, La Gran Sala de"
1,https://www.facebook.com/share/p/16YncVrasQ/,"(45.075775146484375, 610.4940185546875, 76.99949645996094, 620.316650390625)",y j promover agua Noticias)
1,https://walac.pe/castilla-vecinos-del-a-h-campo-polo-denuncian-que-no-cuentan-con-agua-desde-hace-un-mes/,"(402.3758850097656, 738.8027954101562, 426.9325866699219, 748.62548828125)",a. La Sunass tampoco ctado. (Walac)
1,https://elregionalpiura.com.pe/index.php/locales/146-sullana/69488-sullana-eps-grau-realiza-mantenimiento-y-limpieza-de-alcantarillado-con-hidrojets-en-transversal-callao,"(96.03095245361328, 787.916259765625, 142.0747833251953, 797.7388916015625)",estructura de alcantarillado ullana. (El Regional)
2,https://andina.pe/agencia/noticia-trujillo-reportan-afectacion-humedales-huanchaco-tras-derrame-aguas-residuales-1024559.aspx,"(386.4140319824219, 57.968017578125, 414.04034423828125, 67.79071044921875)","dales de donde se extra edalib. (Andina, La Ind"
2,http://www.laindustria.pe/nota/27735-huanchaco-ms-de-70-pescadores-artesanales-afectados-por-desborde-de-lagunas-de-oxidacin,"(418.95166015625, 57.968017578125, 466.22332763671875, 67.79071044921875)","p donde se extrae la materia Andina, La Industria, Sol TV"
2,https://soltvperu.com/desborde-aguas-servidas-huanchaco-totorales/,"(471.1346740722656, 57.968017578125, 498.1470642089844, 67.79071044921875)","p j rae la materia prima p dustria, Sol TV)"
2,https://trujilloeshoy.com/mario-reyna-red-de-alcantarillado-es-una-bomba-de-tiempo/,"(88.05001068115234, 107.0814208984375, 145.1443634033203, 116.90411376953125)","g g asionar una desgracia. “Dios n ”, dijo. (Trujillo es Hoy, Correo"
2,https://diariocorreo.pe/edicion/la-libertad-alcalde-de-trujilo-mario-reyna-avierte-que-la-red-de-alcantarillado-es-una-bomba-de-tiempo-noticia/,"(150.0557098388672, 107.0814208984375, 177.68199157714844, 116.90411376953125)","g gracia. “Dios no permit es Hoy, Correo)"
2,https://macronorte.pe/2025/04/01/alcalde-mario-reyna-cuestiona-la-poca-capacidad-para-ejecutar-obras-de-sedalib/,"(261.1748046875, 146.37213134765625, 306.604736328125, 156.19488525390625)",p j pacidad de la empresa Sed oyecto. (Macronorte)
2,https://macronorte.pe/2025/04/01/piden-pronunciamiento-de-rechazo-a-propuesta-de-sedalib-de-arrojar-desague-al-mar-de-huanchaco/,"(314.58563232421875, 195.48553466796875, 360.01556396484375, 205.30828857421875)","q p Huanchaco, se ha visto afe el mar. (Macronorte)"
2,https://diaadiatrujillo.pe/2025/04/03/convenio-entre-mpt-y-ministerio-de-vivienda-impide-a-sedalib-invertir-en-sus-propias-plantas-de-tratamiento/,"(539.279541015625, 244.5989990234375, 553.399658203125, 254.42169189453125)",nicipalidad miento. (Día
2,https://diaadiatrujillo.pe/2025/04/03/convenio-entre-mpt-y-ministerio-de-vivienda-impide-a-sedalib-invertir-en-sus-propias-plantas-de-tratamiento/,"(45.075775146484375, 254.42169189453125, 95.41703033447266, 264.24432373046875)",p Provincial de Trujillo a Día Trujillo)
2,https://rotafono.pe/servicios-publicos/trujillo-pobladores-reportan-aniego-a-causa-de-rotura-de-tuberias-en-la-avenida-santa-rosa-1625854/,"(413.4264221191406, 293.71240234375, 449.6475524902344, 303.53509521484375)","y l Condominio Torres, en arado. (Rotafono)"
2,https://www.gob.pe/institucion/contraloria/noticias/1138602-epsel-lambayeque-usa-recursos-propios-en-obra-adjudicada-a-contratista,"(48.14536666870117, 352.6484680175781, 92.96136474609375, 362.47125244140625)",y Chiclayo. Esta situa (Contraloría)
2,https://www.defensoria.gob.pe/actividades/122634/,"(352.0346374511719, 411.5846252441406, 395.622802734375, 421.40728759765625)",( ) y a de la contaminación por vento. (Defensoría)
2,https://www.facebook.com/share/v/18Sr3DG48p/,"(347.123291015625, 450.8753662109375, 422.0212707519531, 460.6980285644531)",p p q les a tres cuadras del puente Mora onada. (Semanario Avance)
2,https://ladecana.pe/juliaca-pobladores-exigen-una-explicacion-por-el-aumento-en-tarifas-de-agua-potable/,"(313.3578186035156, 509.8114318847656, 356.9459533691406, 519.6340942382812)","g g róximo 15 de abril, en la qu unass. (La Decana)"
2,https://proycontra.com.pe/sedaloreto-se-burla-de-punchana/,"(136.5495147705078, 558.9248046875, 187.5046844482422, 568.7476196289062)",q p p p ntervención duraría solo tres zona. (Pro y Contra)
2,https://proycontra.com.pe/caos-en-la-marina-por-obras-inconclusas/,"(302.30731201171875, 608.038330078125, 352.6485595703125, 617.8610229492188)","g elgrano, no solo tardan más ación. (Pro y Contra, Pro y C"
2,https://www.youtube.com/watch?v=7g_YnXPZoQ4,"(358.1737976074219, 608.038330078125, 408.5150451660156, 617.8610229492188)","g lo tardan más de lo esperad Contra, Pro y Contra)"
2,https://www.gob.pe/institucion/pnsu/noticias/1138755-ministerio-de-vivienda-avanza-en-etapa-de-preinversion-para-proyecto-de-agua-potable-y-alcantarillado-en-apurimac,"(381.502685546875, 727.1383666992188, 415.882080078125, 736.9609985351562)",p eación del servicio de tra rímac. (Vivienda)
2,https://www.gob.pe/institucion/otass/noticias/1138510-piura-estrategia-cisternas-e-hidrojets-del-otass-beneficia-a-mas-de-62-000-pobladores-de-tambo-grande-y-lobitos,"(427.5465087890625, 766.4290771484375, 457.0145568847656, 776.2517700195312)","de Piura y Talara, son l país. (Gob.pe)"
3,https://prensaregional.pe/eps-moquegua-culmina-exitosamente-trabajos-de-mantenimiento-en-las-galerias-filtrantes-el-totoral/,"(146.98611450195312, 38.3226318359375, 213.90313720703125, 48.14532470703125)",tro poblado de San Francisco y eneral. (Prensa Regional)
3,https://pachamamaradio.org/emsa-puno-suministrara-agua-hospital-altiplano/,"(220.04232788085938, 87.43603515625, 270.3835754394531, 97.25872802734375)",p e la primera etapa de abaste édico. (Pachamama)
3,https://peruconstruye.net/2025/04/02/en-mayo-inauguran-reservorio-que-abastecera-de-agua-potable-al-centro-historico-del-cusco/,"(473.59033203125, 136.5494384765625, 536.2099609375, 146.37213134765625)",p p ás de S/9 millones de danos. (Perú Construye)
3,http://imacorpplataforma.com/wp-content/uploads/2025/04/LA-REPUBLICA-ECONOMIA-11-PERU-TOCA-FONDO-EN-PROGRESO-SOCIAL-Y-ES-SUPERADO-POR-CUBA-02-04-2025.jpg,"(439.8248596191406, 205.30828857421875, 492.6217956542969, 215.13092041015625)","la cobertura de agua y sanea n 101. (La República, La Rep"
3,https://larepublica.pe/economia/2025/04/02/peru-toca-fondo-en-progreso-social-y-es-superado-por-cuba-alta-inseguridad-y-deterioro-de-servicios-basicos-lo-ponen-en-jaque-pobreza-hnews-34191,"(497.5331115722656, 205.30828857421875, 550.330078125, 215.13092041015625)","y e agua y saneamiento, pública, La República)"
3,https://www.infobae.com/america/mundo/2025/04/03/en-ciudad-del-cabo-proponen-agua-de-mar-como-medida-contra-la-crisis-del-agua/,"(283.8897705078125, 244.5989990234375, 313.97174072265625, 254.42169189453125)",el desagüe de inodoros ídrica. (Infobae)
3,http://imacorpplataforma.com/wp-content/uploads/2025/04/EL-PERUANO-DERECHO-7-LEY-N-32273-CONTRA-DEFICIT-HIDRICO-EN-HUANUCO-02-04-2025-scaled.jpg,"(295.55419921875, 392.55316162109375, 339.75628662109375, 402.3758239746094)",y ( tales del ámbito de las refe (PMI). (El Peruano)
3,http://imacorpplataforma.com/wp-content/uploads/2025/04/TROME-ACTUALIDAD-7-FUERTES-LLUVIAS-CAUSAN-MUERTE-Y-DESTRUCCION-02-04-2025.jpg,"(214.51707458496094, 431.8439025878906, 239.68768310546875, 441.66656494140625)",ciembre del año pasad ndeci. (Trome)
3,http://imacorpplataforma.com/wp-content/uploads/2025/04/EL-PERUANO-ECONOMIA-11-MEF-LA-INVERSION-PUBLICA-ALCANZA-EJECUCION-HISTORICA-02-04-2025-scaled.jpg,"(119.97373962402344, 567.5195922851562, 164.78973388671875, 577.3424682617188)",p MEF). Este resultado trimes l MEF. (El Peruano)
3,http://imacorpplataforma.com/wp-content/uploads/2025/04/LA-NOTICIA-ACTUALIDAD-5-NUEVO-AEROPUERTO-JORGE-CHAVEZ-YA-ESTA-AL-999-02-04-2025.jpg,"(208.3778839111328, 626.4557495117188, 248.2825469970703, 636.2784423828125)","p ectamente instalados y fu hávez. (La Noticia, Correo"
3,http://imacorpplataforma.com/wp-content/uploads/2025/04/CORREO-LIMA-6-NUEVO-AEROPUERTO-ALCANZA-999-DE-AVANCE-02-04-2025.jpg,"(253.1938934326172, 626.4557495117188, 280.8201904296875, 636.2784423828125)","p nstalados y funcionand Noticia, Correo, Expres"
3,http://imacorpplataforma.com/wp-content/uploads/2025/04/EXPRESO-ACTUALIDAD-18-AVANCE-DE-999-EN-OBRAS-DEL-NUEVO-AEROPUERTO-JORGE-CHAVEZ-02-04-2025-scaled.jpg,"(285.7315368652344, 626.4557495117188, 318.8830871582031, 636.2784423828125)","p y os y funcionando, consta Correo, Expreso)"
3,http://imacorpplataforma.com/wp-content/uploads/2025/04/GESTION-ECONOMIA-12-OSITRAN-DA-PRIMEROS-PASOS-PARA-INICIAR-INTENTO-DE-SANCION-CONTRA-LAP-02-04-2025.jpg,"(169.087158203125, 685.3919677734375, 200.39695739746094, 695.214599609375)","p rativo sancionar, en el c nifestó. (Gestión)"
3,http://imacorpplataforma.com/wp-content/uploads/2025/04/LA-REPUBLICA-ECONOMIA-11-INFLACION-ANUAL-EN-PERU-SE-DESACELERA-A-12-EN-MARZO-LA-MENOR-EN-6-ANOS-02-04-2025.jpg,"(160.4923095703125, 744.328125, 213.2892303466797, 754.1507568359375)",( ) g dice de Precios al Consumido 2025. (La República)
