Page,URL,Rect,Context
1,https://aka.ms/o0ukef,"(72.08815002441406, 158.65057373046875, 132.8660125732422, 167.85931396484375)",Obtener Outlook para iOS
1,https://busquedas.elperuano.pe/dispositivo/NL/2383603-1,"(474.8182067871094, 460.69805908203125, 555.8553466796875, 470.520751953125)","minada “Lineamientos para 5650”. (El Peruano, Normas"
1,https://busquedas.elperuano.pe/dispositivo/NL/2383603-1,"(45.075775146484375, 470.520751953125, 76.99949645996094, 480.34344482421875)",la administració Legales)
1,https://soltvperu.com/sunass-la-libertad-reclamos-agua-potable/,"(105.23971557617188, 584.70947265625, 132.25209045410156, 594.5321655273438)",n La Libertad en lo que otable. (Sol TV)
1,https://sunassgobpe-my.sharepoint.com/:i:/g/personal/esosa_sunass_gob_pe/Ed9JduSeXZBOpk6iYwjD29MBNhBcgJywNsoz68Mo--qQ3Q?e=4hJxhu,"(402.98980712890625, 639.9620361328125, 461.3119812011719, 649.7847290039062)","Sunass capacitó a los respons velica. (Diario Primicia, Digital"
1,https://www.facebook.com/permalink.php?story_fbid=pfbid0231jRqdXanbB9tmpZQTYpfDfnAQ31pzD5KtjSce3Vxy1SbLiWLvatmH1LPR4BZADNl&id=61559613183648,"(466.22332763671875, 639.9620361328125, 516.5645751953125, 649.7847290039062)","ó a los responsables de las rimicia, Digital Press, Más"
1,https://www.facebook.com/permalink.php?story_fbid=pfbid02tejDu8DCdLXZbdUP47SvFo8QKT2hF5ehfMoFEGiDFnx8XQFtZQFZPRhCbDPjaZf8l&id=100065273659654,"(521.4759521484375, 639.9620361328125, 538.6656494140625, 649.7847290039062)","sables de las Press, Más"
1,https://www.facebook.com/permalink.php?story_fbid=pfbid02tejDu8DCdLXZbdUP47SvFo8QKT2hF5ehfMoFEGiDFnx8XQFtZQFZPRhCbDPjaZf8l&id=100065273659654,"(45.075775146484375, 649.7847290039062, 76.99949645996094, 659.607421875)","áreas técnicas m Noticias, Anota."
1,https://www.facebook.com/permalink.php?story_fbid=pfbid0eXDYoXaZaEWVWc7EhzFDUkqjnBq1m67wQoTPHwSWNCdifPzJbEYhScCiZ4Ek5xAQl&id=100064089484737,"(81.91083526611328, 649.7847290039062, 118.1319808959961, 659.607421875)","reas técnicas municipale oticias, Anota.pe, Agua &"
1,https://www.facebook.com/permalink.php?story_fbid=pfbid0vNDj6yg3oW3U2xXsqU1gJHJYRtD8oHteRC4GRoMZ5xEDwa8P46jpHwcyqBxmBzDyl&id=100072108931277,"(123.04332733154297, 649.7847290039062, 193.02993774414062, 659.607421875)","cas municipales (ATM) de los gob ota.pe, Agua & Ambiente, Verde."
1,https://www.facebook.com/permalink.php?story_fbid=pfbid02EH2WLkiJTHtGstDPvGAG4rzJHKPVUuwtBSPSEHsWtrXJcoeDvN4yE733LqTKUA6rl&id=100062993063417,"(197.9412841796875, 649.7847290039062, 234.1624298095703, 659.607421875)","TM) de los gobiernos dist biente, Verde.pe, Report"
1,https://www.facebook.com/permalink.php?story_fbid=pfbid02n2dv1aSwPabWZzXS1NFE99Gv1sjCKWfdDjNy5pD3xAazAsPpaeQwAh26zepX3hw7l&id=100063616446639,"(239.0737762451172, 649.7847290039062, 304.7629699707031, 659.607421875)","gobiernos distritales de la región rde.pe, Reporteros Perú)"
1,https://www.facebook.com/permalink.php?story_fbid=pfbid091MBLi7HNzsC8QNyXk5N9Evtk9B2JSMepvHiNEwXA3vXug9E6P3KUY7pR5bKzwikl&id=100083430338466,"(223.11190795898438, 724.6826782226562, 276.52276611328125, 734.50537109375)","g q p distrito de Paucarpata, en la iadas. (EAG Noticias, Prisma blo, EBQ Noticias, Info Notic"
