Page,URL,Rect,Context
1,https://busquedas.elperuano.pe/dispositivo/NL/2388948-1,"(183.6699981689453, 152.34002685546875, 328.80999755859375, 164.989990234375)","aneamiento, no comprendidos en el Sist ental. (El Peruano, Normas Legales)"
1,https://www.facebook.com/share/v/1DQ9Yz2rnH/,"(159.8300018310547, 266.17999267578125, 331.25, 278.83001708984375)","es educativas, proyectos y campañas sobre el u Tacna, Municipalidad Provincial de Tacna)"
1,https://elcomercio.pe/lima/40-distritos-de-lima-y-callao-redujeron-su-consumo-diario-de-agua-potable-en-el-2024-cuanta-agua-se-utiliza-en-la-capital-agua-potable-consumo-de-agua-lima-metropolitana-lima-servicios-basicos-noticias-noticia/,"(120.70999908447266, 354.7300109863281, 185.11000061035156, 367.3699951171875)","onsumo. Es decir, la gran agua”. (El Comercio)"
1,https://comunicaciones.congreso.gob.pe/damos-cuenta/proponen-control-de-micro-plasticos-para-proteger-la-salud-publica/,"(86.46299743652344, 468.57000732421875, 223.02999877929688, 481.2099914550781)",procesos para la eliminación de (Congreso Comunicaciones)
1,https://www.youtube.com/watch?v=26B3F3Hqg9Y,"(229.57000732421875, 595.0499877929688, 317.8399963378906, 607.7000122070312)","mirante Villar, expresó que esto table. (Exitosa YouTube, Exitos"
1,https://www.exitosanoticias.pe/exitosa-peru/nos-estan-envenenando-denuncian-presencia-arsenico-agua-consumo-humano-tumbes-n148782,"(319.45001220703125, 595.0499877929688, 375.30999755859375, 607.7000122070312)","esó que esto supondría uTube, Exitosa.pe)"
1,https://soltvperu.com/aguas-residuales-huanchaco-crisis-contaminacion/,"(351.8399963378906, 683.5999755859375, 395.4700012207031, 696.2459716796875)",con una capacidad re ación. (SOL TV)
2,https://macronorte.pe/2025/04/08/alcalde-mario-reyna-denuncia-ante-fiscalia-a-sedalib-por-trabajos-inconclusos-en-urb-primavera/,"(86.46299743652344, 114.4000244140625, 146.60000610351562, 127.03997802734375)",Sedalib S. A. por lo (Macronorte)
2,https://tudiariohuanuco.pe/actualidad/seda-huanuco-detecta-manipulacion-y-alteracion-de-medidores-de-agua/,"(416.6600036621094, 190.28997802734375, 465.7799987792969, 202.94000244140625)",medidores alterados c table. (Tu Diario)
2,https://diariocorreo.pe/edicion/piura/piura-eps-grau-mejorara-los-servicios-de-agua-y-alcantarillado-en-paita-noticia/,"(417.2699890136719, 266.17999267578125, 455.3900146484375, 278.83001708984375)",ones que mejoren de uerto. (Correo)
2,https://www.gob.pe/institucion/proinversion/noticias/1142156-proinversion-peru-promueve-proyectos-por-us-70-000-millones-en-foro-internacional-de-app,"(452.1199951171875, 405.32000732421875, 492.70001220703125, 417.9700012207031)","leféricos, electricidad otros. (Gob.pe)"
2,https://tudiariohuanuco.pe/politica/inician-estudios-para-delimitar-el-humedal-de-huachog-y-destrabar-proyecto-de-la-ptar/,"(346.92999267578125, 493.8599853515625, 396.04998779296875, 506.510009765625)",cional de Saneamiento ento. (Tu Diario)
2,https://prensaregional.pe/planta-de-tratamiento-de-aguas-residuales-de-ilo-presenta-un-55-de-avance/,"(489.8500061035156, 557.1099853515625, 532.260009765625, 569.760009765625)","hern Perú, en de Ilo. (Prensa"
2,https://prensaregional.pe/planta-de-tratamiento-de-aguas-residuales-de-ilo-presenta-un-55-de-avance/,"(82.80000305175781, 569.760009765625, 130.72000122070312, 582.4100341796875)",el marco de un c Regional)
2,https://elregionalpiura.com.pe/index.php/locales/146-sullana/69557-sullana-eps-grau-instalara-mas-de-200-tapas-de-buzones-en-diversos-sectores-de-la-ciudad,"(208.1300048828125, 645.6500244140625, 268.8900146484375, 658.2999877929688)",nando la compra de más incia. (El Regional)
3,http://imacorpplataforma.com/wp-content/uploads/2025/04/EL-PERUANO-POLITICA-4-OBJETIVO-ES-EVITAR-INUNDACIONES-08-04-2025.jpg,"(192.85000610351562, 152.34002685546875, 251.77999877929688, 164.989990234375)",entre otras situaciones d mbes. (El Peruano)
3,http://imacorpplataforma.com/wp-content/uploads/2025/04/EL-PERUANO-ECONOMIA-11-MEF-Y-MTPE-REVISAN-MEDIDAS-LABORALES-08-04-2025-scaled.jpg,"(271.0899963378906, 266.17999267578125, 330.010009765625, 278.83001708984375)",aboral que serán impuls eses. (El Peruano)
